# w_1 w_2 DS VF c_1 c_2 u_1 u_2 fut_util_1_1 fut_util_1_2 fut_util_2_1 fut_util_2_2 pen_1 pen_2 pen_u_1 pen_u_2 
9.056471285211405986e-01 3.535636942701826380e-01 0.000000000000000000e+00 5.305511065308683438e-01 3.521975747998350430e-03 0.000000000000000000e+00 1.184926444476865348e-01 0.000000000000000000e+00 1.069786992619489041e+01 2.043014793333899348e+00 1.922114021471905021e+00 3.161702944340198940e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.056471285211405986e-01 3.535636942701826380e-01 1.000000000000000000e+00 1.729691578378659278e+00 3.523319845073024162e-03 0.000000000000000000e+00 1.185153609247362183e-01 0.000000000000000000e+00 1.069784468566429858e+01 2.043011827048647255e+00 1.922115347982545464e+00 3.161702944335158083e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.104624668796124531e-01 1.243686122528371740e+00 0.000000000000000000e+00 1.939305142284196259e+00 1.032368895231017408e-01 3.624008989180795282e-01 6.424099891929737627e-01 1.203794865323362995e+00 6.439650122269980237e+00 9.486372959887896528e+00 1.132617409918277396e+01 1.322177325502358869e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.104624668796124531e-01 1.243686122528371740e+00 1.000000000000000000e+00 1.760761490930248696e+00 1.030778974678623061e-01 3.637143274834941375e-01 6.419151417148896144e-01 1.205974767085310262e+00 6.440199952799067873e+00 9.486699826166086424e+00 1.132737270206451541e+01 1.321935114195480132e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.636004367017446670e-01 8.815128423969149640e-01 0.000000000000000000e+00 1.415179961753222138e+00 1.696486034113265651e-01 1.745188894613509123e-01 8.235688578234698909e-01 8.353095613120478102e-01 9.905605557860591048e+00 8.241236667019808948e+00 5.797680033024386503e+00 8.752454855306831760e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.636004367017446670e-01 8.815128423969149640e-01 1.000000000000000000e+00 1.902039671510105112e+00 1.696994167836857470e-01 1.752699269367766211e-01 8.236918064268935469e-01 8.371052842641482084e-01 9.905468948295817810e+00 8.241149631907548567e+00 5.794249993666815257e+00 8.750459607582396160e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.144816964868258902e-01 4.108361012588677696e-01 0.000000000000000000e+00 6.997664649190256103e-01 2.304744905976372285e-02 0.000000000000000000e+00 3.034283125817947013e-01 0.000000000000000000e+00 9.273272940359959193e+00 2.843250155332650575e+00 2.647930746853877082e+00 4.004226687282272934e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.144816964868258902e-01 4.108361012588677696e-01 1.000000000000000000e+00 1.820163398718271708e+00 2.307127522640755463e-02 0.000000000000000000e+00 3.035852954003181448e-01 0.000000000000000000e+00 9.273098514998597608e+00 2.843199491047804450e+00 2.647978462378130615e+00 4.004226687284261565e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.329943350515530476e+00 1.569590833978883326e+00 0.000000000000000000e+00 1.648241890709984725e+00 4.339631609012929991e-01 4.784587910860673698e-01 1.317317621744064526e+00 1.383214347769110786e+00 1.298061836564117399e+01 1.557671652621963609e+01 1.471997608983707373e+01 1.623583705149925649e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.329943350515530476e+00 1.569590833978883326e+00 1.000000000000000000e+00 1.554965376399251253e+00 4.339607304231117291e-01 4.784809072838139277e-01 1.317314016362249207e+00 1.383246311326379985e+00 1.298062237162928767e+01 1.557695173708699343e+01 1.471998800150253039e+01 1.623580153643483470e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.206908786454501281e-01 1.353342900778565561e+00 0.000000000000000000e+00 1.926859399293427311e+00 1.190998158848020812e-16 4.657590569114850032e-01 1.190998158848020843e-12 1.364731034255062703e+00 3.378993065315736288e+00 6.384033735251893660e+00 1.290839419527621068e+01 1.481612555688579036e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.206908786454501281e-01 1.353342900778565561e+00 1.000000000000000000e+00 1.665109962951274669e+00 0.000000000000000000e+00 4.657570967017087282e-01 0.000000000000000000e+00 1.364728283064297276e+00 3.378993065326947320e+00 6.384051415555504150e+00 1.290809230334509650e+01 1.481612861376398804e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.194485745201972260e-01 1.047399373630126806e+00 0.000000000000000000e+00 1.016706229734309019e+00 0.000000000000000000e+00 2.758173449659454546e-01 0.000000000000000000e+00 1.050169493374381258e+00 1.288385829246918579e+00 3.867268188208446311e+00 9.609576326572049965e+00 1.162084749090486291e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.194485745201972260e-01 1.047399373630126806e+00 1.000000000000000000e+00 1.740011627574336250e+00 0.000000000000000000e+00 2.763218784392437732e-01 0.000000000000000000e+00 1.051128456270481681e+00 1.288385829240859426e+00 3.866801002566413459e+00 9.610594742844819294e+00 1.161978197657569822e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.519952040963953754e-01 1.116374507727805998e+00 0.000000000000000000e+00 2.001053151810927577e+00 2.953896628034319554e-03 3.322148402295063141e-01 1.084998907251363692e-01 1.152561694305212381e+00 3.978864467443135045e+00 6.857825972925647662e+00 1.016479181257490261e+01 1.204628612501360863e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.519952040963953754e-01 1.116374507727805998e+00 1.000000000000000000e+00 1.825922157748372188e+00 2.954323465096007732e-03 3.321284430092643625e-01 1.085075612321813460e-01 1.152411741321683669e+00 3.978855944659323907e+00 6.857749889326053783e+00 1.016487261462390990e+01 1.204645273943932615e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.174940423755815866e+00 1.363754989042737398e+00 0.000000000000000000e+00 1.739445693342206667e+00 1.458561475845140676e-01 4.780946351893606283e-01 7.636223814092948370e-01 1.382687768677974161e+00 1.194418183282589219e+01 1.374544535968020220e+01 1.255165064509746209e+01 1.387875592039752171e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.174940423755815866e+00 1.363754989042737398e+00 1.000000000000000000e+00 1.695465823758155688e+00 1.458097364114654404e-01 4.777503626347279764e-01 7.635012849891660291e-01 1.382189798976411366e+00 1.194431638439758281e+01 1.374519403149088426e+01 1.255172761424832650e+01 1.387930922006651002e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.490603253376818760e+00 4.552657443429994344e-01 0.000000000000000000e+00 4.505105244851392854e-01 1.578513121688724166e-02 1.344466148644078400e-16 2.510779725309490451e-01 1.344466132242356437e-12 1.772125160836186808e+01 2.475109418218869095e+00 2.479659163889187390e+00 3.620539507930574885e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.490603253376818760e+00 4.552657443429994344e-01 1.000000000000000000e+00 1.759785241672340295e+00 1.578170198922360448e-02 0.000000000000000000e+00 2.510513800948819818e-01 0.000000000000000000e+00 1.772128115552176197e+01 2.475116797721858664e+00 2.479620150528840661e+00 3.620539507934337653e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.619622562509581476e+00 1.261054515034393919e+00 0.000000000000000000e+00 8.942286969927526474e-01 9.999999999989989119e-01 3.553108442611741524e-01 1.999800009998998984e+00 1.191959140851088117e+00 1.627181741604628584e+01 1.102940789395111310e+01 1.031338958362073832e+01 1.218930661127647319e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.619622562509581476e+00 1.261054515034393919e+00 1.000000000000000000e+00 1.694377419789726336e+00 1.000000000000000000e+00 3.558092830700844145e-01 1.999800009999999961e+00 1.192796490244787622e+00 1.627181741604092480e+01 1.102940789395006504e+01 1.031310883520478150e+01 1.218837622306114810e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
