# w_1 w_2 DS VF CB_L CB_U R_DIFF c_1 c_2 u_1 u_2 fut_util_1_1 fut_util_1_2 fut_util_2_1 fut_util_2_2 pen_1 pen_2 pen_u_1 pen_u_2 
2.092185756628862858e+00 3.568322620523908029e+00 0.000000000000000000e+00 1.240953619957956278e-01 1.917921244507661438e+00 2.130269479483929640e+00 1.019478499302223449e-06 2.894955903356214756e-03 1.334179483982943781e-01 1.152772705341816584e-01 7.288834478536118100e-01 4.108196391727557462e+00 7.027238989487671894e+00 4.759835888400122172e+00 7.538295781298131715e+00 1.782589801102055533e-05 0.000000000000000000e+00 3.736734090066035896e-07 4.891669335412612980e-06
2.054098195863778731e+00 3.513619494743836391e+00 0.000000000000000000e+00 1.239799978960167692e-01 1.932216130751152727e+00 2.115743865040880411e+00 1.009307759932565593e-06 3.065928697279019562e-03 1.266573890212497611e-01 1.105681162840123494e-01 7.124710652995080995e-01 4.037365980980282210e+00 6.908754619745536729e+00 4.613588597698925042e+00 7.420440716423383876e+00 0.000000000000000000e+00 1.541240186824798967e-05 0.000000000000000000e+00 3.212432540004562149e-07
2.018682990490141105e+00 3.454377309872768365e+00 0.000000000000000000e+00 1.250469814687309444e-01 1.910721972446633332e+00 2.139371990490828601e+00 9.987352392768725143e-07 2.509826032558112614e-03 1.204816374567501819e-01 1.009298898880180567e-01 6.953308482903557408e-01 3.975649565602766611e+00 6.816276707502881393e+00 4.490474072289293517e+00 7.300933333393524904e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.987824782801383305e+00 3.408138353751440697e+00 0.000000000000000000e+00 1.256487120700100490e-01 1.917600676111724578e+00 2.133696748028295342e+00 9.921362455208584260e-07 1.640306695558558896e-03 1.154532428586376169e-01 8.427777502806807486e-02 6.807036399021665352e-01 3.930432094032055179e+00 6.754566625081035447e+00 4.395448989949160001e+00 7.209300032685458604e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.197724494974580001e+00 3.604650016342729302e+00 1.000000000000000000e+00 1.096644952738317080e-01 1.940062506191536862e+00 2.079266484356126377e+00 1.624252513743736922e-06 1.272620284693279716e-02 1.280487606790540467e-01 2.228342961787135590e-01 7.127545676207017733e-01 4.243655911971890404e+00 7.197949507116478074e+00 4.927533991205315544e+00 7.615851912775272403e+00 2.083877011767580289e-05 0.000000000000000000e+00 0.000000000000000000e+00 8.420342837214688912e-07
2.463766995602657772e+00 3.807925956387636202e+00 1.000000000000000000e+00 9.544486417718434090e-02 1.932679239941300642e+00 2.058210488413068084e+00 1.709707761333159451e-06 1.644030658366834458e-02 1.532356988032234080e-01 2.532663477114646122e-01 7.832053207996187982e-01 4.819385650898036388e+00 7.678317195670911310e+00 5.179547791785609867e+00 7.965088151537791816e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.149416148729770973e-06 0.000000000000000000e+00
2.589773895892805378e+00 3.982544075768895908e+00 1.000000000000000000e+00 8.217711756974477311e-02 1.896902056412043569e+00 2.067452178727446022e+00 1.805853162469575448e-06 4.357387530118023156e-02 1.620982557961167803e-01 4.161271945584985588e-01 8.050946126574805017e-01 4.906635485750533654e+00 7.791938223125836060e+00 5.348137015345151291e+00 8.342557418411811199e+00 1.707244878136679326e-05 3.336192838276943849e-05 0.000000000000000000e+00 0.000000000000000000e+00
2.453317742875266827e+00 3.895969111562917586e+00 0.000000000000000000e+00 1.144641740293002030e-01 1.900270972486157062e+00 2.128657375572443389e+00 1.140802625835102956e-06 1.564019277351992934e-02 1.625943208456203104e-01 2.476646510697959602e-01 8.053312099100492505e-01 4.755066950749154309e+00 7.699186598468069853e+00 5.252175326583905957e+00 8.172522051943827748e+00 2.006627541772568164e-05 1.099955228393778914e-04 0.000000000000000000e+00 0.000000000000000000e+00
2.626087663291952978e+00 4.086261025971913874e+00 1.000000000000000000e+00 7.380864170803635993e-02 1.862764659793511246e+00 2.084852623622561296e+00 1.860997962840306520e-06 5.005431361650907601e-02 1.712100222380789072e-01 4.478470400804548945e-01 8.274613934868592091e-01 4.935983499292886378e+00 7.796959754045193591e+00 5.616617116403446630e+00 8.564152806278404029e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.605436410434342548e-05 0.000000000000000000e+00
2.808308558201723315e+00 4.282076403139202014e+00 1.000000000000000000e+00 5.830154684865807013e-02 1.874679915813379116e+00 2.041923177883936624e+00 1.940697370746274457e-06 6.828385279955398457e-02 1.863158816923476402e-01 5.257954913158151555e-01 8.632900663385978390e-01 5.252103831223562835e+00 8.354027627065079287e+00 6.166912563595283281e+00 8.968385792781457866e+00 7.380091954758125940e-06 0.000000000000000000e+00 0.000000000000000000e+00 6.087577326760081708e-06
3.083456281797641640e+00 4.484192896390728933e+00 1.000000000000000000e+00 4.145916060162790906e-02 1.837595504100076882e+00 2.045322817103178981e+00 2.044145736676184643e-06 8.954925858715208353e-02 1.996648063195066436e-01 6.013881712415298786e-01 8.938428023117457322e-01 5.800351597666529635e+00 8.977912621250258240e+00 6.818781474784664454e+00 9.360632503600553989e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.343485356950532905e-06 0.000000000000000000e+00
3.409390737392332227e+00 4.680316251800276994e+00 1.000000000000000000e+00 2.453843975002079070e-02 1.808047994728266161e+00 2.041028884771775243e+00 2.134665678983032433e-06 1.305910698518900070e-01 2.022428382298505356e-01 7.168901263086778775e-01 8.997462401802546195e-01 6.422410536437205053e+00 9.352595547758452810e+00 7.248509532202223049e+00 9.754804085894258847e+00 3.778946319535911660e-04 1.748417187965874251e-04 0.000000000000000000e+00 0.000000000000000000e+00
3.624254766101111969e+00 4.877402042947129424e+00 1.000000000000000000e+00 6.448311807605300316e-03 1.813313902759324581e+00 1.999582720855885842e+00 2.236040942325784045e-06 2.244059896047329028e-01 2.137543413543483706e-01 9.417172115830777512e-01 9.222601071882902124e-01 6.659819308646418357e+00 9.660824377014302300e+00 7.782813593375360384e+00 1.016713272944440050e+01 1.563689538043687563e-04 6.434505187400310741e-05 0.000000000000000000e+00 0.000000000000000000e+00
3.891406796687680192e+00 5.083566364722201136e+00 1.000000000000000000e+00 -1.272950614791978907e-02 1.771207728907891576e+00 2.003333258796268446e+00 2.304659805846587751e-06 1.102372571722436134e-01 2.425630428324270227e-01 6.389000939438498339e-01 9.845185598648791281e-01 7.584175228911468558e+00 1.033771045782458486e+01 8.083727700563892782e+00 1.053575357155593828e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.792087614455734279e+00 5.168855228912292432e+00 0.000000000000000000e+00 2.541023392383334745e-02 1.826078334188971031e+00 2.024742133658695487e+00 1.587475278133139545e-06 1.244445735640509754e-01 2.482594444296915004e-01 7.050043529231947437e-01 9.966349001809456931e-01 7.260770785411850170e+00 1.036139379777324798e+01 8.241382168782116935e+00 1.076013052187128061e+01 3.158739387146159024e-04 0.000000000000000000e+00 7.970009158377669445e-06 0.000000000000000000e+00
4.120691084391058467e+00 5.380065260935640303e+00 1.000000000000000000e+00 -4.149477487450559110e-02 1.761626257744808743e+00 1.955384192506179897e+00 2.385301351563817511e-06 1.545503890316601847e-01 2.593569592142755398e-01 7.870876473185562938e-01 1.018605213834745893e+00 7.938123412381790978e+00 1.049135267441844022e+01 8.842910721832774712e+00 1.117105013696485472e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.421455360916387356e+00 5.585525068482427358e+00 1.000000000000000000e+00 -6.226391458818048008e-02 1.705461924699804399e+00 1.970010246123834463e+00 2.443129193111357169e-06 1.702022144832011363e-01 2.811508729668191764e-01 8.248697419007253728e-01 1.062443320744267616e+00 8.585991211969165704e+00 1.134602278280063992e+01 9.481672232715641968e+00 1.154940867864013931e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.740836116357820984e+00 5.774704339320069657e+00 1.000000000000000000e+00 -8.182906708439396937e-02 1.692142970737140262e+00 1.944198895094071622e+00 2.506974603610572453e-06 1.320285226781457155e-01 2.928170231882514241e-01 7.342445335703794429e-01 1.082220451889627011e+00 9.448449217288755975e+00 1.176861904470343134e+01 1.006780333787412296e+01 1.191408046025804879e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.033901668937062368e+00 5.957040230129023506e+00 1.000000000000000000e+00 -1.013836886688070926e-01 1.671292724864976043e+00 1.925939897797409595e+00 2.454081506155451271e-06 1.354325167880628678e-01 3.296033703212549737e-01 7.364837370041511511e-01 1.143652240926865682e+00 1.011828689199076514e+01 1.202143831567623700e+01 1.044002710487323249e+01 1.223481934883723810e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.220013552436616244e+00 6.117409674418619048e+00 1.000000000000000000e+00 -1.196312195328208539e-01 1.662956595092792034e+00 1.897780965841566081e+00 2.339041675819903806e-06 2.493702913176963076e-01 3.580090133254092977e-01 1.001606236063054434e+00 1.194519490508558990e+00 1.024342524777966190e+01 1.201240884763325312e+01 1.062634372810686045e+01 1.252739414648461391e+01 0.000000000000000000e+00 0.000000000000000000e+00 7.066162997790550126e-05 1.673131925700457542e-04
5.313171864053430227e+00 6.263697073242306956e+00 1.000000000000000000e+00 -1.364809561941140448e-01 1.638390499837985015e+00 1.888647587773786718e+00 2.265850148398623642e-06 2.879669709042991799e-01 3.576680055188841689e-01 1.063813629202351230e+00 1.195028065906261538e+00 1.035041389331764883e+01 1.227478794539606000e+01 1.094806816738227084e+01 1.285078912384571481e+01 1.890380279396608812e-05 1.737530886729373076e-04 0.000000000000000000e+00 0.000000000000000000e+00
5.474034083691135422e+00 6.425394561922857406e+00 1.000000000000000000e+00 -1.558723425531054474e-01 1.697309201421724811e+00 1.790946113472064116e+00 2.218257217103231428e-06 2.810826912165383384e-01 3.613526721273979669e-01 1.060490163089173654e+00 1.202157640481710033e+00 1.072286227885799903e+01 1.290289500416079882e+01 1.131235771992497341e+01 1.320591158341438209e+01 0.000000000000000000e+00 1.504421619088701752e-05 0.000000000000000000e+00 0.000000000000000000e+00
