#T1 T2 L2 LInf 
7.161000000000000000e+03 7.162000000000000000e+03 2.106323799308531851e-07 7.645953201909364940e-07
7.162000000000000000e+03 7.163000000000000000e+03 1.769941721099998726e-07 6.205416790594851378e-07
7.163000000000000000e+03 7.164000000000000000e+03 1.600664985196284340e-07 5.532442717297578784e-07
7.164000000000000000e+03 7.165000000000000000e+03 1.296323895858788862e-07 4.652128302654066735e-07
7.165000000000000000e+03 7.166000000000000000e+03 1.161047847430359662e-07 3.998256380383008249e-07
7.166000000000000000e+03 7.167000000000000000e+03 1.058341567044769879e-07 3.628864244998416999e-07
7.167000000000000000e+03 7.168000000000000000e+03 9.179638377817088577e-08 3.125156898395989899e-07
7.168000000000000000e+03 7.169000000000000000e+03 7.960149082496490993e-08 2.809890920667836429e-07
7.169000000000000000e+03 7.170000000000000000e+03 8.715706023192310633e-05 7.002744393198079330e-04
7.170000000000000000e+03 7.171000000000000000e+03 5.864353780401489815e-05 3.648044730573624735e-04
7.171000000000000000e+03 7.172000000000000000e+03 3.066526841015107139e-05 1.729202968810036043e-04
7.172000000000000000e+03 7.173000000000000000e+03 3.631910854463286551e-05 4.414173840422987681e-04
7.173000000000000000e+03 7.174000000000000000e+03 1.350258316126411791e-05 1.114835271166618051e-04
7.174000000000000000e+03 7.175000000000000000e+03 1.063060242474117312e-05 8.645148381786552094e-05
7.175000000000000000e+03 7.176000000000000000e+03 8.668360367371096781e-06 4.964803088222221792e-05
7.176000000000000000e+03 7.177000000000000000e+03 6.586784342451146197e-06 5.132328959747558086e-05
7.177000000000000000e+03 7.178000000000000000e+03 5.149838745636147640e-06 3.169916597268895744e-05
7.178000000000000000e+03 7.179000000000000000e+03 3.834693422950106653e-06 2.691614307395850795e-05
7.179000000000000000e+03 7.180000000000000000e+03 3.841669646922976441e-06 1.950640500074736475e-05
7.180000000000000000e+03 7.181000000000000000e+03 3.728414696905812488e-06 1.765954510020842155e-05
7.181000000000000000e+03 7.182000000000000000e+03 3.152161838098781751e-06 1.871015282950867707e-05
7.182000000000000000e+03 7.183000000000000000e+03 2.835384556604807655e-06 1.265075178074489778e-05
7.183000000000000000e+03 7.184000000000000000e+03 3.690320546121870513e-06 3.186632134221630073e-05
7.184000000000000000e+03 7.185000000000000000e+03 2.350462277698309678e-06 8.619123063082639608e-06
7.185000000000000000e+03 7.186000000000000000e+03 2.001686350107504648e-06 7.147584225427849712e-06
7.186000000000000000e+03 7.187000000000000000e+03 1.766896756989135070e-06 5.817902433720723032e-06
7.187000000000000000e+03 7.188000000000000000e+03 1.651160437082254437e-06 4.887289986377184280e-06
7.188000000000000000e+03 7.189000000000000000e+03 1.419302724300378045e-06 4.190427184775562079e-06
7.189000000000000000e+03 7.190000000000000000e+03 1.393375919108655765e-06 7.704942975556352685e-06
7.190000000000000000e+03 7.191000000000000000e+03 1.148157850690129479e-06 2.948308010776644770e-06
7.191000000000000000e+03 7.192000000000000000e+03 9.788882177642799360e-07 2.463726764717749369e-06
7.192000000000000000e+03 7.193000000000000000e+03 9.088660148906545666e-07 2.208101152833367794e-06
7.193000000000000000e+03 7.194000000000000000e+03 8.362493636624936437e-07 1.992077330317466768e-06
7.194000000000000000e+03 7.195000000000000000e+03 7.260516884242831462e-07 2.561762747087771933e-06
7.195000000000000000e+03 7.196000000000000000e+03 7.022913803777975532e-07 1.524553483836359179e-06
7.196000000000000000e+03 7.197000000000000000e+03 6.202847118836673695e-07 2.145297267191191389e-06
7.197000000000000000e+03 7.198000000000000000e+03 5.650202027710402263e-07 1.222561336748394147e-06
7.198000000000000000e+03 7.199000000000000000e+03 5.055279563387011039e-07 1.082272903728609971e-06
