# w_1 w_2 DS VF CB_L CB_U R_DIFF c_1 c_2 u_1 u_2 fut_util_1_1 fut_util_1_2 fut_util_2_1 fut_util_2_2 pen_1 pen_2 pen_u_1 pen_u_2 
7.034413162631188987e-01 9.413299509740969961e-01 1.000000000000000000e+00 2.214461772303444320e-02 0.000000000000000000e+00 0.000000000000000000e+00 3.501973346148861142e-06 5.734398665473006140e-02 2.345004928200027372e-01 4.457012872171546292e-01 9.473833360323722363e-01 7.006688390264518063e+00 9.482737342706149875e+00 7.746043635933628657e+00 9.746644122453512082e+00 0.000000000000000000e+00 0.000000000000000000e+00 9.807375111452231245e-06 0.000000000000000000e+00
7.746043635933627103e-01 9.746644122453509418e-01 1.000000000000000000e+00 6.142271619862471610e-03 0.000000000000000000e+00 0.000000000000000000e+00 4.893449054136642810e-07 9.713902519320072315e-02 2.872507802748351935e-01 6.047416263815712512e-01 1.051071376790178702e+00 7.652216996911228364e+00 9.841800765495822390e+00 8.102337083642996873e+00 9.945439179915387840e+00 3.105957059491327998e-04 7.387870055069849229e-05 6.767405517519925126e-07 0.000000000000000000e+00
7.652216996911226365e-01 9.841800765495820613e-01 0.000000000000000000e+00 4.140351071140324635e-02 0.000000000000000000e+00 0.000000000000000000e+00 7.958359895944422894e-07 8.896781096572178860e-02 2.896778089833720871e-01 5.708921284890278169e-01 1.055442300778339115e+00 7.557415257804879438e+00 9.802968836246449769e+00 8.134256290425993186e+00 1.004401612312596725e+01 1.050461091558971272e-03 0.000000000000000000e+00 6.832872511537376511e-06 0.000000000000000000e+00
7.557415257804878106e-01 9.802968836246447326e-01 0.000000000000000000e+00 4.483925995551252264e-02 0.000000000000000000e+00 0.000000000000000000e+00 8.293565688590820448e-07 8.261203461610666654e-02 2.853947353052845859e-01 5.500291025512897836e-01 1.047409474722236000e+00 7.466471245030737336e+00 9.794164614853560380e+00 8.132134453892868819e+00 1.001929219856035758e+01 7.911842035241388460e-04 0.000000000000000000e+00 6.412983188522260874e-06 0.000000000000000000e+00
7.466471245030735782e-01 9.794164614853557715e-01 0.000000000000000000e+00 4.840412585676978630e-02 0.000000000000000000e+00 0.000000000000000000e+00 8.546475822218684849e-07 7.617627824958098093e-02 2.861325520440227699e-01 5.267321248245286913e-01 1.048319565703317746e+00 7.384420231275613311e+00 9.773783775106691607e+00 8.143083312014709918e+00 1.001974950218168559e+01 6.674544657171155304e-04 0.000000000000000000e+00 8.469975172012032469e-06 0.000000000000000000e+00
7.384420231275611313e-01 9.773783775106689165e-01 0.000000000000000000e+00 5.101483044847476833e-02 0.000000000000000000e+00 0.000000000000000000e+00 8.706506523016691036e-07 7.034218009896059387e-02 2.858827949252752409e-01 5.047738371318712947e-01 1.047254446381142845e+00 7.315814572695950702e+00 9.734060120723123433e+00 8.141590521218487808e+00 1.000983222738505063e+01 5.816358636662830733e-04 0.000000000000000000e+00 1.021461486458332801e-05 0.000000000000000000e+00
7.315814572695948925e-01 9.734060120723121434e-01 0.000000000000000000e+00 5.286500586056019912e-02 0.000000000000000000e+00 0.000000000000000000e+00 8.807107607351748949e-07 6.631833329942882216e-02 2.824748777515192488e-01 4.893424347084358583e-01 1.040343357880666675e+00 7.257535338889715248e+00 9.690791602506415359e+00 8.119203654343062126e+00 9.983497656913469243e+00 4.915062436321414319e-04 0.000000000000000000e+00 1.084560777990566322e-05 0.000000000000000000e+00
7.257535338889713472e-01 9.690791602506413360e-01 0.000000000000000000e+00 5.444663272829619594e-02 0.000000000000000000e+00 0.000000000000000000e+00 8.876800009015439298e-07 6.382820950989745445e-02 2.777349297066988298e-01 4.796370831619432007e-01 1.030950683792900557e+00 7.206536069647696330e+00 9.650925794552522419e+00 8.085698150093529435e+00 9.953745112616102730e+00 4.034221210014298648e-04 0.000000000000000000e+00 1.074434201050859534e-05 0.000000000000000000e+00
7.206536069647694331e-01 9.650925794552520642e-01 0.000000000000000000e+00 5.596686889994728631e-02 0.000000000000000000e+00 0.000000000000000000e+00 8.936296062913571412e-07 6.252669721724588014e-02 2.727299577646778994e-01 4.744706125569431165e-01 1.021058185521114270e+00 7.159929624849704410e+00 9.616325095952062085e+00 8.049328097038767282e+00 9.925930717121250524e+00 3.084356474928658803e-04 0.000000000000000000e+00 1.000972880408360294e-05 0.000000000000000000e+00
7.159929624849702412e-01 9.616325095952059643e-01 0.000000000000000000e+00 5.748197155114276313e-02 0.000000000000000000e+00 0.000000000000000000e+00 8.998009859067667928e-07 6.209917237088080633e-02 2.680428031385446719e-01 4.726366452782897465e-01 1.011780155247712809e+00 7.114984581805590125e+00 9.586468639784726520e+00 8.014825970449823700e+00 9.901811441212327480e+00 2.273150561237693296e-04 0.000000000000000000e+00 8.850077325633877098e-06 0.000000000000000000e+00
7.114984581805589015e-01 9.586468639784724299e-01 0.000000000000000000e+00 5.897942737049177708e-02 0.000000000000000000e+00 0.000000000000000000e+00 9.070205332282578094e-07 6.244150977423326698e-02 2.638981663765257446e-01 4.735649589825419170e-01 1.003573153486043923e+00 7.069021827440001182e+00 9.559660023668293150e+00 7.983534651716666986e+00 9.881346514222766331e+00 1.584430880992582225e-04 0.000000000000000000e+00 8.051515028211126985e-06 0.000000000000000000e+00
7.069021827439999628e-01 9.559660023668290485e-01 0.000000000000000000e+00 6.041081180388419014e-02 0.000000000000000000e+00 0.000000000000000000e+00 9.160662510773116379e-07 6.357532012927649689e-02 2.602605311446829495e-01 4.772882302764236417e-01 9.963796699453562056e-01 7.018708843688670207e+00 9.533766855346639701e+00 7.954518958165280651e+00 9.863423003381415199e+00 1.048320125254832702e-04 0.000000000000000000e+00 7.979962657147924351e-06 0.000000000000000000e+00
7.018708843688669097e-01 9.533766855346637037e-01 0.000000000000000000e+00 6.170711476262069617e-02 0.000000000000000000e+00 0.000000000000000000e+00 9.281067335268858579e-07 6.569570110898359516e-02 2.570207599075813865e-01 4.845417394123543442e-01 9.900137908120294483e-01 6.957874789816120398e+00 9.506479059354937533e+00 7.925865702220206366e+00 9.846530429865989476e+00 7.161461136449484566e-05 0.000000000000000000e+00 8.765201683209183914e-06 0.000000000000000000e+00
6.957874789816118621e-01 9.506479059354935313e-01 0.000000000000000000e+00 6.280392274261603625e-02 0.000000000000000000e+00 0.000000000000000000e+00 9.456792588158167558e-07 6.937273656181980330e-02 2.541643949644020184e-01 4.973749442916155505e-01 9.844435442127575930e-01 6.873159880717045311e+00 9.475190382218075413e+00 7.895171518828123958e+00 9.829124781342988726e+00 7.301857482182837200e-05 0.000000000000000000e+00 1.089658564362998468e-05 0.000000000000000000e+00
6.873159880717043535e-01 9.475190382218073859e-01 0.000000000000000000e+00 6.372682253914141448e-02 0.000000000000000000e+00 0.000000000000000000e+00 9.747420672477763929e-07 7.607859545010703384e-02 2.519186195730427902e-01 5.210270505137388763e-01 9.801443403946803468e-01 6.736225150294430364e+00 9.436942830099836144e+00 7.859774800020444374e+00 9.809620285063612499e+00 1.356268632436413019e-04 0.000000000000000000e+00 1.552712056074215079e-05 0.000000000000000000e+00
6.736225150294429254e-01 9.436942830099833701e-01 0.000000000000000000e+00 6.509967065333421843e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.027812803831144403e-06 8.912649881878323410e-02 2.505695544201361757e-01 5.671553740937720356e-01 9.780350932381811635e-01 6.493274984247257464e+00 9.391795785548696429e+00 7.816518263893838636e+00 9.785903664121619272e+00 2.470695878805662105e-04 1.603738554201150635e-04 2.571086033885741640e-05 0.000000000000000000e+00
6.493274984247255910e-01 9.391795785548694431e-01 0.000000000000000000e+00 7.034623823775731921e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.118598326126185291e-06 1.092822724133545031e-01 2.522139245703893806e-01 6.375075658854172378e-01 9.831214243732008251e-01 6.076218358165762723e+00 9.343316180712331942e+00 7.751941923368308451e+00 9.758098350073350247e+00 2.569090482142533799e-04 4.074296087345531669e-04 2.940460819964225200e-05 0.000000000000000000e+00
6.076218358165761391e-01 9.343316180712329944e-01 0.000000000000000000e+00 8.845521643843157200e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.185517565758518638e-06 9.512082990129519522e-02 2.673300988147437884e-01 5.845272215525278980e-01 1.012472278761298305e+00 5.635549043845315964e+00 9.132034119539168771e+00 7.645746140338889774e+00 9.743727500528677865e+00 1.255921120982966821e-04 0.000000000000000000e+00 5.290872857877364915e-07 0.000000000000000000e+00
5.635549043845314854e-01 9.132034119539166328e-01 0.000000000000000000e+00 1.016342244355592506e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.126955337493181387e-06 4.758444660921318237e-02 2.189258468667540369e-01 4.126880111665847117e-01 9.154932221286611327e-01 5.312953239834112829e+00 8.748417929462588560e+00 7.467851375723123297e+00 9.613063378403902348e+00 4.585316203989560357e-05 0.000000000000000000e+00 1.387893253921207480e-05 0.000000000000000000e+00
5.312953239834111718e-01 8.748417929462586340e-01 0.000000000000000000e+00 1.156629637260730981e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.265107206652173077e-06 3.808954753281812433e-02 2.050315314775815467e-01 3.708088097850343878e-01 8.858308018497922376e-01 5.001654543156384136e+00 8.227738499050184728e+00 6.615514333795464275e+00 9.197294494763282202e+00 3.798258627052721048e-04 0.000000000000000000e+00 2.072867637182575738e-06 0.000000000000000000e+00
5.001654543156383026e-01 8.227738499050183396e-01 0.000000000000000000e+00 1.198019853195635420e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.119172583264805774e-06 5.192856239776555416e-02 1.829945988354974851e-01 4.321524589458425325e-01 8.331549143128980095e-01 4.650485525025898959e+00 7.497662263251979375e+00 5.579916581034101597e+00 8.685022607706152087e+00 4.034971406687674900e-04 0.000000000000000000e+00 3.672536551653678150e-05 0.000000000000000000e+00
4.650485525025898070e-01 7.497662263251977377e-01 0.000000000000000000e+00 1.278794692731120008e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.139104127204821108e-06 2.770413312866826239e-02 1.550389149635601482e-01 3.141033910809474250e-01 7.632248538874422117e-01 4.393876566266087025e+00 7.126675293545707390e+00 4.715610728746582936e+00 7.904389862770907271e+00 1.722843674457283369e-04 5.723535929361284191e-04 1.111004311386121603e-05 1.345024367614656383e-05
4.393876566266086137e-01 7.126675293545705614e-01 0.000000000000000000e+00 1.260627234310778277e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.141405132731459932e-06 1.687109370144279641e-02 1.325021822114447190e-01 2.147273710125707780e-01 7.102490272756513123e-01 4.182189290236205892e+00 6.950271241467367744e+00 4.606150622056426336e+00 7.490583659875568401e+00 0.000000000000000000e+00 6.870487347951856338e-04 0.000000000000000000e+00 1.293212816664288459e-05
4.182189290236205115e-01 6.950271241467366190e-01 0.000000000000000000e+00 1.338069932686432040e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.140007509336542408e-06 1.046986680443934281e-02 1.374762725569605992e-01 1.534495795212409419e-01 7.268705394272312326e-01 4.120278155077565785e+00 6.874323260703960159e+00 4.491893985441722137e+00 7.300739841055996493e+00 0.000000000000000000e+00 2.857805392906531683e-04 5.544664613252249692e-06 7.349389735105326879e-06
4.120278155077564675e-01 6.874323260703958383e-01 0.000000000000000000e+00 1.316524110794872193e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.137393329703283781e-06 9.148855632969410401e-03 1.359300184519778854e-01 1.377896136332350530e-01 7.232223060206135479e-01 4.082580042566396727e+00 6.821202703109457310e+00 4.438274352081546859e+00 7.219361784634193313e+00 0.000000000000000000e+00 3.097190730909984979e-04 9.932739303156168896e-06 1.174059749409369063e-05
4.082580042566396061e-01 6.821202703109455756e-01 0.000000000000000000e+00 1.291337445812232865e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.135980011727349758e-06 8.009807926070033890e-03 1.338246238617867845e-01 1.245757150581932038e-01 7.173037262802273162e-01 4.055510441939162547e+00 6.782517242477895003e+00 4.401838716170408894e+00 7.165619687123037096e+00 0.000000000000000000e+00 3.337428570057907051e-04 1.105461546370119577e-05 1.330051254074698409e-05
4.055510441939161881e-01 6.782517242477893449e-01 0.000000000000000000e+00 1.271766164104426444e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.135169131045049756e-06 6.902288109948750972e-03 1.319401922580194786e-01 1.130377736924592647e-01 7.118138974995036339e-01 4.035957405136283427e+00 6.753960468529158767e+00 4.375317406117043006e+00 7.128088226428852536e+00 0.000000000000000000e+00 3.299735873875941916e-04 1.079506008994015210e-05 1.330938232686816689e-05
4.035957405136282317e-01 6.753960468529157657e-01 0.000000000000000000e+00 1.257480967730280064e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.134703047137373767e-06 5.956520750465432723e-03 1.303901016407512381e-01 1.039194304408668224e-01 7.071958121694406074e-01 4.021891550338081878e+00 6.732621126814090751e+00 4.355568520835810808e+00 7.100793108118069519e+00 0.000000000000000000e+00 3.100635615094979314e-04 1.001514358462090963e-05 1.235345424211689754e-05
4.355568520835809698e-01 7.100793108118067520e-01 1.000000000000000000e+00 1.133818416578740162e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.696807832237886169e-07 2.681952531048703570e-02 1.184072068350028317e-01 2.988027404404511866e-01 6.708739681910781405e-01 4.142182891796650779e+00 6.957926427912168421e+00 4.650294633425154700e+00 7.546025257694743971e+00 4.062993474586405751e-04 5.865133893140535293e-05 1.135618499165184361e-05 1.430773792707520919e-05
4.650294633425153812e-01 7.546025257694741750e-01 1.000000000000000000e+00 9.727155808864207387e-02 0.000000000000000000e+00 0.000000000000000000e+00 8.429888647700744604e-07 4.410997988055220809e-03 1.404101585363091986e-01 1.142712263080545299e-01 7.294944864938194273e-01 4.640849255081304747e+00 7.525382878078654691e+00 4.839051739017932618e+00 7.974768954508774321e+00 3.290561937522966385e-05 8.156308420310520030e-05 6.016957657771569278e-06 3.538415646049675178e-06
4.839051739017931619e-01 7.974768954508772989e-01 1.000000000000000000e+00 8.179064098431010343e-02 0.000000000000000000e+00 0.000000000000000000e+00 3.737417503390333600e-07 2.618570876514814127e-02 1.648511233330998693e-01 2.930466225074976894e-01 7.920498552674559711e-01 4.649494300983489481e+00 7.476215492289032483e+00 5.294129288514335840e+00 8.443349713251000921e+00 2.176354662806363749e-04 0.000000000000000000e+00 4.785129200383507909e-06 0.000000000000000000e+00
