# w_1 w_2 DS VF CB_L CB_U R_DIFF c_1 c_2 u_1 u_2 fut_util_1_1 fut_util_1_2 fut_util_2_1 fut_util_2_2 pen_1 pen_2 pen_u_1 pen_u_2 
1.038955433889871642e+02 1.130144616770594581e+02 0.000000000000000000e+00 8.415481353263314368e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.888706695574356522e-07 5.774627245648000784e-02 1.329054697587169209e-01 4.914903003651982516e-01 7.343757449290584383e-01 1.024111253866829259e+02 1.112425243373529895e+02 1.061746453595356883e+02 1.144175085384526795e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.024111253866829259e+02 1.112425243373529895e+02 0.000000000000000000e+00 8.453421525502968770e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.302598893333378488e-07 3.737983668877120635e-02 1.230980789061518754e-01 3.625533431275700380e-01 6.978665326461204188e-01 1.010948407213493141e+02 1.095670680839979241e+02 1.053239708649047941e+02 1.126567104003866717e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.053239708649047941e+02 1.126567104003866575e+02 1.000000000000000000e+00 8.323679814999240811e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.134171167784058796e-06 1.056027686458955173e-01 1.387193400633428553e-01 6.364874060681797729e-01 7.434638723190793996e-01 1.040836689803984285e+02 1.125341365027468754e+02 1.061630592387986667e+02 1.138578711052342243e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.061630592387986667e+02 1.138578711052342243e+02 1.000000000000000000e+00 8.278731628338675819e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.231190297441538391e-06 1.004078311844332494e-01 1.366623579676424782e-01 6.266659500169814434e-01 7.367431607327077359e-01 1.049303224037420534e+02 1.135533779672373953e+02 1.064611794860489624e+02 1.151260124623352255e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.064611794860489624e+02 1.151260124623352397e+02 1.000000000000000000e+00 8.232415703830118225e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.346246490599537544e-06 8.064052849494174335e-02 1.528038663647599549e-01 5.727006015345538215e-01 7.800600929605323586e-01 1.050494773667851831e+02 1.138679772970017439e+02 1.057650124661760032e+02 1.164734820097263110e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.057650124661759889e+02 1.164734820097262968e+02 1.000000000000000000e+00 8.179013039994957879e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.481221068781180881e-06 6.497807238739003455e-02 1.609005325310217671e-01 5.160851997117646972e-01 8.007151561493444092e-01 1.039145849356876425e+02 1.127668129654931732e+02 1.041096049611030026e+02 1.180442988966171782e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.041096049611029883e+02 1.180442988966171640e+02 1.000000000000000000e+00 8.116944237076371138e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.643296875091583741e-06 2.816881926958790527e-02 1.693450640609395208e-01 3.495858470125527973e-01 8.224371947842179509e-01 1.016487092346494308e+02 1.101028642934349335e+02 1.052867681166639784e+02 1.199944117420621694e+02 1.416661590532601600e-03 1.107105404697536488e-03 3.850265284857851134e-03 2.443939076953449696e-03
1.052867681166639642e+02 1.199944117420621552e+02 1.000000000000000000e+00 8.034731215040924468e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.822743867324049315e-06 4.746052665341569249e-02 1.705374976567810563e-01 4.361466094058686904e-01 8.253557821969721431e-01 1.025913211969023422e+02 1.111294866345798340e+02 1.080085249896787047e+02 1.220371080701581548e+02 1.275471934154275011e-03 9.966141816630108563e-04 3.466533754211770235e-03 2.200376623910427210e-03
1.080085249896787190e+02 1.220371080701581548e+02 1.000000000000000000e+00 7.945220447851366607e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.061425022928715933e-06 7.902199296234002635e-02 1.692248465303674010e-01 5.588412105152857912e-01 8.207410148057121546e-01 1.053931263849302127e+02 1.138685422324827243e+02 1.106375586939305720e+02 1.240162203042224860e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.106375586939305578e+02 1.240162203042224860e+02 1.000000000000000000e+00 7.867378780319191911e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.320572822575027109e-06 9.797608124512112437e-02 1.817344932768296673e-01 5.910165667762092845e-01 8.506491274492482546e-01 1.082126734898778722e+02 1.178258422662396185e+02 1.104531651497251090e+02 1.259131411218542667e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.104531651497251090e+02 1.259131411218542809e+02 1.000000000000000000e+00 7.788984848711950626e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.569835397423858165e-06 9.724841539656850498e-02 1.832169080635122071e-01 5.881515381417830035e-01 8.539167527366409161e-01 1.074404055587826576e+02 1.168440643771786540e+02 1.145821538948958391e+02 1.280665467054919873e+02 4.538457500378893783e-03 3.552388129725594923e-03 1.233481637767971928e-02 7.829422152714815564e-03
1.145821538948958391e+02 1.280665467054919873e+02 1.000000000000000000e+00 7.697905672088349860e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.854505254072678548e-06 1.472374770911330788e-01 1.932580533633423414e-01 7.748670538756263770e-01 8.773377394257906303e-01 1.119453842401837278e+02 1.245707008566534171e+02 1.173479838664133865e+02 1.299873313031806390e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.173479838664133865e+02 1.299873313031806390e+02 1.000000000000000000e+00 7.617290787812995845e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.145401518196107386e-06 1.398017746320151522e-01 1.816804328589984863e-01 7.403124777941347823e-01 8.503866128362140842e-01 1.149602667305429975e+02 1.284871379592059384e+02 1.203226217424184199e+02 1.318612432241477563e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.203226217424184199e+02 1.318612432241477563e+02 1.000000000000000000e+00 7.538209355647524923e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.443900459150390109e-06 2.821562178878140870e-01 2.030731492026411900e-01 1.058347123310199756e+00 8.993420303382038128e-01 1.179248892720407298e+02 1.310963957662110033e+02 1.227935124993991280e+02 1.335826220310510166e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
