#T1 T2 L2 LInf 
5.918000000000000000e+03 5.919000000000000000e+03 2.813957925597419772e-06 1.692066140665463155e-05
5.919000000000000000e+03 5.920000000000000000e+03 6.385108610743866629e-05 2.519465917853955521e-04
5.920000000000000000e+03 5.921000000000000000e+03 2.854085256042985869e-06 2.035132733840569504e-05
5.921000000000000000e+03 5.922000000000000000e+03 1.058783387861885577e-06 3.622772781423201070e-06
5.922000000000000000e+03 5.923000000000000000e+03 1.170986456148142556e-06 2.074493879877251409e-06
5.923000000000000000e+03 5.924000000000000000e+03 1.834017879441232390e-05 2.857276888088618877e-05
5.924000000000000000e+03 5.925000000000000000e+03 2.920827014415939133e-07 4.782688865606238334e-07
5.925000000000000000e+03 5.926000000000000000e+03 5.986985799745431628e-06 9.336744729381400991e-06
5.926000000000000000e+03 5.927000000000000000e+03 8.503667026093846833e-07 1.127379002204284798e-05
5.927000000000000000e+03 5.928000000000000000e+03 1.834549500857788425e-07 1.102804097194891681e-06
5.928000000000000000e+03 5.929000000000000000e+03 7.802335619184166946e-07 9.947720435260244280e-06
5.929000000000000000e+03 5.930000000000000000e+03 1.162525553515779256e-06 7.380871095588570794e-06
5.930000000000000000e+03 5.931000000000000000e+03 3.650318417594548110e-07 1.663219883289206945e-06
5.931000000000000000e+03 5.932000000000000000e+03 6.914847638061521344e-07 3.891570955264291143e-06
5.932000000000000000e+03 5.933000000000000000e+03 3.947357649105694570e-07 1.706475401524559151e-06
5.933000000000000000e+03 5.934000000000000000e+03 1.391467471462828957e-06 1.665950946019252924e-05
5.934000000000000000e+03 5.935000000000000000e+03 1.522242732957323852e-06 9.625335742233694103e-06
5.935000000000000000e+03 5.936000000000000000e+03 6.645765258659164152e-07 3.119043802813642468e-06
5.936000000000000000e+03 5.937000000000000000e+03 1.920124248882299927e-06 2.049012551531248066e-05
5.937000000000000000e+03 5.938000000000000000e+03 1.925712529125797170e-06 8.248295801614508629e-06
5.938000000000000000e+03 5.939000000000000000e+03 1.199242096213970386e-06 4.092443154795478747e-06
