# w_1 w_2 VF 
2.736374220016541958e+00 2.197517214510094963e+00 -5.410779313937572610e-01
7.605851567969383886e+00 1.961073177472896500e-01 -9.951315970599827754e-01
3.257533553790934011e+00 5.407898591400120969e-01 -9.859319829838915084e-01
9.113131265196013686e+00 4.777304396124296026e+00 -7.533402833635143292e-01
3.091397340295205964e+00 8.205523832231524040e+00 3.558593774786000807e-02
2.277188540523719773e+00 5.335379845098409124e-01 -9.283613201843006202e-01
6.185519509273395222e+00 5.493827874787704069e+00 -2.409397825839871832e-01
3.693630231544251075e+00 8.028573259874558499e-01 -9.072025567834427484e-01
9.023903364600684540e+00 3.841450578448266651e+00 -8.005400047809687614e-01
9.481804173531539703e+00 1.092031114248964707e+00 -9.963525525663623483e-01
6.436491237647063102e+00 8.640505254383773703e+00 4.972883620191326237e-02
4.531365907197633547e+00 5.639705432266397089e+00 3.584451811394373522e-02
6.642049823100691697e+00 7.814033055471922395e+00 4.934450249035760017e-02
1.326525574504209048e+00 1.531367360471835637e+00 -5.672652424828843465e-01
8.908643103789440687e+00 9.449369470329910925e+00 -6.054637698924070222e-02
7.947256398895840235e+00 5.077811484243178519e+00 -5.170558698235233619e-01
1.013994696707154475e+00 2.441197883797587703e-02 -9.595685542951690739e-01
7.020167654693300285e+00 3.428922964163876319e+00 -5.985261032330841946e-01
8.951275366768591368e+00 9.544206644156588482e+00 -1.083381327493779800e-01
1.370926268986804253e+00 7.059673036807238233e+00 -3.647097788774762428e-01
6.206099905142367312e+00 7.898867810000537837e+00 4.468531985129309270e-02
1.909449277738425099e+00 3.141624298881023236e+00 -9.965217373164581005e-03
7.728106754467232165e+00 1.642406019406650097e+00 -8.370247661952473495e-01
8.791974641461761664e+00 8.936324343788056623e+00 -9.282297268998740414e-02
8.113227265182697323e+00 3.624989249083306220e+00 -6.631362081222658134e-01
9.080935174872386995e+00 8.920792799431779940e+00 -2.846916167423885202e-01
1.592712217493596594e+00 3.386238204807511476e+00 -4.837207257775988367e-02
6.534167458352476032e+00 4.946056862157901080e+00 -3.722227523487471323e-01
8.981206848685924227e-01 6.947136714191507245e+00 -6.271000570355917958e-01
3.347270748873824253e+00 7.826773635830005738e+00 4.092390120533506703e-02
3.705023441897994374e+00 7.958607822309841096e-01 -9.074795273085913827e-01
2.434924132580060796e+00 9.896623340413864156e+00 -9.067519407146518162e-01
1.614941145548808299e+00 2.401613790772863410e+00 -2.795992166213863150e-01
8.498485041958049990e+00 5.932873772995813866e+00 -5.453913749634468067e-01
2.745652601842226481e+00 1.555363319450027149e+00 -7.165484907167443129e-01
8.411370659856913790e+00 9.789318649913370862e+00 -4.942363490200407661e-02
9.554925707323610240e+00 6.841684846606828962e+00 -8.504477097599811852e-01
8.306096166900529099e+00 2.863071389641312692e+00 -7.557990689294206144e-01
4.583529978721140097e+00 2.692610155204567590e+00 -5.734038547085740234e-01
5.548297734691211680e+00 9.813787177635580505e+00 -6.947172510036965232e-01
3.778367574986453814e+00 4.328704874065990360e+00 -3.111785454693638542e-02
4.479654102342503497e-01 2.681315716421859729e+00 -7.169234791157874653e-01
9.770894060534962122e+00 9.565302107976318524e+00 -4.836875952697039516e-01
4.819894384950120347e+00 5.689706419236443935e+00 3.098448841405376797e-02
1.189924860965920539e+00 9.738318940924054701e+00 -1.030908905907154782e+00
3.961965240067174765e+00 6.613096873296101741e+00 3.873592628464672671e-02
7.194796886325622864e+00 9.884183378512970464e+00 -2.103742969662089624e-01
6.544207570392751805e+00 1.583048318656917752e+00 -8.580447791204539598e-01
6.704001716589566229e+00 8.029891639077298748e+00 5.048080821639744364e-02
2.288551013836266801e+00 1.955812602460697658e+00 -5.593448373788736383e-01
5.926656234904802645e+00 2.412533970189607579e+00 -6.862147578058216402e-01
3.539334780326010232e+00 8.612591827697155367e+00 2.074287277347597325e-02
7.399779888888970092e+00 4.561185163125845321e+00 -5.035760203947066138e-01
9.329554089391282057e-01 4.636679623306834586e+00 -4.952989784229560044e-01
2.793213871415590188e-01 2.986858966895978434e-02 -9.999544285683291678e-01
9.146245037072267436e+00 1.260216101349422635e+00 -9.735379012054656833e-01
3.495665320841846668e+00 9.162072015073716713e+00 -1.828323585672553264e-01
8.240483063079167891e+00 8.700536383928408668e+00 2.449636849935926675e-02
4.406284593730121379e+00 8.452661713423021084e+00 3.617708703693356398e-02
7.299331399990451885e+00 2.870176377416588237e-02 -9.998877092609286255e-01
4.120037323648029215e+00 4.059215824806253536e+00 -2.033390181664387342e-01
9.723805925033023101e+00 9.416367110120242856e+00 -5.612351200183012256e-01
2.357075387758076790e+00 8.819750263020704750e+00 -2.289856426390970423e-01
1.918880007939030685e+00 4.366599322477668466e+00 6.819469544648626425e-03
6.817976174323590932e+00 5.837583665082381579e+00 -2.807339315150654269e-01
5.654087252765936711e+00 5.166500239725975163e+00 -2.355291835495898489e-01
5.475926154975556237e+00 7.226569248191772488e+00 4.513814036474261826e-02
4.555404851213454620e+00 6.314668311460796879e+00 3.865386667866044235e-02
2.116714752288376911e+00 8.950815697751467681e+00 -4.562519802465914154e-01
5.783740314461648602e+00 9.154471408027760049e+00 6.439472114300914818e-02
5.728711046586420608e+00 6.387786289585569044e+00 1.484984669330513540e-02
7.474708259582287795e+00 2.394707112312405073e+00 -7.661147021386878198e-01
4.812064575780227393e+00 8.811883071335378403e+00 3.213650046936522564e-02
9.029567072096305935e+00 6.638585639605807387e+00 -6.266014813040229336e-01
3.858674949744808291e+00 4.788246561216420893e+00 3.367101862444865645e-02
3.927814068742704556e+00 6.058699458549805072e+00 3.642650846526240827e-02
1.973382760616941622e+00 8.131687219371089625e+00 -1.983861608326056292e-01
9.750622669444407364e+00 1.463599388477732299e+00 -1.004016526986408753e+00
9.023608741950393863e+00 8.006966100488764226e+00 -4.679561148126655246e-01
1.910033525469291282e+00 1.937269089546030276e+00 -5.077776826138840072e-01
8.364425854379696545e+00 5.009460123580417701e+00 -5.905001703013287306e-01
4.694985561287683851e+00 4.392197354480892102e+00 -2.504340874688857355e-01
4.517582616053616440e-01 7.881515277983794476e+00 -9.476246492479534211e-01
4.042685492801784686e-01 7.026929728668757091e-01 -8.173040481456723683e-01
2.428904535702756662e-01 2.372329955838503590e+00 -8.241503077900507179e-01
5.068717424982467357e+00 9.200669567507592461e+00 -1.489974644350344768e-02
9.374476509933320045e+00 6.061932111911962906e+00 -8.418006748016557683e-01
6.535423130097444577e+00 7.991249345416455263e+00 4.824684661279587949e-02
3.768460063479204813e-01 3.882695373796864136e+00 -8.593298853923245773e-01
4.622822443579358342e+00 9.211682175941470874e+00 -8.212314796184938537e-02
6.829927463278960609e+00 1.084986907898916719e+00 -9.604835875759373254e-01
6.450851507660522621e+00 6.452954005662386194e+00 -9.612226363566578335e-02
1.571162791926653091e+00 3.538488261989209072e+00 -6.682275830027561980e-02
6.972991479138086923e+00 3.114844412714878885e+00 -6.378433244365924182e-01
7.453899827018313218e+00 8.728127871162781659e+00 5.231663797230812207e-02
6.081417932851819197e-01 3.451962999004445365e+00 -6.446344147325513418e-01
9.512361552489753125e-01 6.195024587583530362e+00 -6.104548457696035157e-01
6.476684976380136405e+00 1.711892709926994494e+00 -8.259209466314048065e-01
5.962252131309365488e+00 2.600957038394602905e-01 -1.007417917339041402e+00
3.556384281264481473e+00 4.384791179766466263e-01 -9.731623879168915803e-01
3.235365531263351802e+00 9.050069323452516912e+00 -1.416337640042679702e-01
1.809843069521008263e-01 7.153996905318685151e+00 -1.021496128577056961e+00
3.528428279863105477e+00 2.870531484400083322e+00 -4.158193618199099717e-01
9.372211402173208583e+00 5.526532425284603534e+00 -8.342446263112390792e-01
7.135520173426742829e+00 7.785559707277161401e+00 3.753299510828234098e-02
8.848794212862731712e+00 4.536840638612836152e+00 -7.194323029737311748e-01
8.641852675443173482e+00 2.542693290685971164e+00 -7.836604228200299005e-01
7.621950856304517963e-01 1.794479889015184293e+00 -5.297669178213197938e-01
6.287942955688326840e+00 5.717533388489064450e+00 -2.140477605116439808e-01
4.433524891420274727e+00 9.515533809431385492e+00 -4.883335862320596910e-01
4.879242642199089097e+00 4.421196131126791662e-01 -9.635218858652441210e-01
8.476687655534037802e+00 5.459833676248241119e+00 -5.781583862651484829e-01
1.556135742288453638e+00 2.954414139994186339e+00 -7.733599597270091053e-02
9.834620072324558038e+00 4.751293596387734297e+00 -9.129816455389504481e-01
9.379698655591806045e+00 3.021808517636852542e+00 -9.835204879723815630e-01
6.730671620739276051e+00 6.902503881667678698e+00 -4.636410378495581242e-02
2.799777247818544090e+00 2.830705627430113225e+00 -2.881507765791595510e-01
8.029239352652659534e+00 7.019441918032634398e+00 -2.931421916372076719e-01
6.798365843860315394e+00 1.874657892263839887e-01 -1.001128897628679404e+00
6.598880902545570137e+00 2.331933010414218188e+00 -7.283865901658330699e-01
8.002883550878433283e+00 9.595677453471516571e+00 1.888875726116123754e-02
7.265905761646035188e+00 6.334193549223397390e+00 -2.598737298794711048e-01
9.749612113988048279e+00 2.834835293882489893e+00 -1.002079246725429584e+00
7.827327811824211778e+00 3.326023731830745511e+00 -6.660779578933264666e-01
1.773437314916988639e+00 1.398090455999617898e+00 -6.612836558926520336e-01
7.556017702577230821e+00 4.667532026507393295e-01 -9.805897242619918686e-01
7.350112955204062715e+00 5.633090490517009385e+00 -3.759485421262893645e-01
4.945304492546394037e+00 2.188598617868909635e+00 -6.918112978912513977e-01
3.841042482274714231e+00 5.713165927280325462e+00 3.687877385870530489e-02
5.682764533419062264e-02 2.869902069995193372e+00 -9.264466568421498849e-01
7.429424655891401663e+00 8.610606322043272698e+00 5.437540015011971262e-02
6.197796986700412347e+00 6.917465220757160083e+00 2.998897103205333536e-02
7.437887661272887030e+00 5.470151806445581855e+00 -4.065901266827989247e-01
