# w_1 w_2 w_3 w_4 DS VF CB_L CB_U R_DIFF c_1 c_2 c_3 c_4 u_1 u_2 u_3 u_4 fut_util_1_1 fut_util_1_2 fut_util_1_3 fut_util_1_4 fut_util_2_1 fut_util_2_2 fut_util_2_3 fut_util_2_4 fut_util_3_1 fut_util_3_2 fut_util_3_3 fut_util_3_4 fut_util_4_1 fut_util_4_2 fut_util_4_3 fut_util_4_4 mu_2_2 mu_3_2 mu_4_2 mu_3_3 mu_4_3 mu_4_4 pen_1 pen_2 pen_3 pen_4 pen_u_1 pen_u_2 pen_u_3 pen_u_4 
1.284559178162306807e+02 1.275619811269172033e+02 1.303023947369171651e+02 1.310614833927531322e+02 3.000000000000000000e+00 5.756744244766556218e-01 1.216364725554996085e+00 2.634984123398315337e+00 8.268078452239052028e-05 1.733750790203515135e-01 3.118231921049996469e-01 4.297916850348205697e-01 3.744060953621433097e-01 8.764890944059197109e-01 7.188607068415091561e-01 7.883845362549185554e-01 1.024347504617171278e+00 1.260920110120741668e+02 1.228815092072835284e+02 1.261267520640397493e+02 1.275533235361293123e+02 1.255414271627923881e+02 1.265278496600291049e+02 1.275022318056976047e+02 1.253090636385527858e+02 1.331740617824941637e+02 1.278013020265526762e+02 1.285829260071238309e+02 1.262465307670272381e+02 1.268034560248506892e+02 1.258431999580512013e+02 1.291631199120435838e+02 1.307894711668069192e+02 1.364441318984717100e+00 1.969156403168594582e-01 4.314251409481422717e-01 1.275896535580475666e+00 1.760191050413267844e-01 9.340258480940323293e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.268034560248506750e+02 1.258431999580512013e+02 1.291631199120435838e+02 1.307894711668069192e+02 3.000000000000000000e+00 5.752988482002003856e-01 1.225948391783923785e+00 2.624649304616477163e+00 8.548231462892755858e-05 1.727629710651589490e-01 3.561029126339572137e-01 4.542535816794087689e-01 3.775533030011327673e-01 8.799716375850604733e-01 7.117630433953566760e-01 7.701860541013143546e-01 9.939593827512441804e-01 1.238191514071708639e+02 1.203621039368642016e+02 1.247707529005339211e+02 1.271561702357860639e+02 1.235803883498549141e+02 1.240211406409976149e+02 1.251873022931232526e+02 1.243741848681955275e+02 1.313864169631094398e+02 1.257708425902308704e+02 1.265662293890109993e+02 1.253721340696136082e+02 1.271242915622522816e+02 1.261069570797856727e+02 1.295875780686932899e+02 1.309866951344021970e+02 1.324248805142812291e+00 1.889535609808610517e-01 3.775213889773297860e-01 1.315717997487635849e+00 1.975849984931379311e-01 9.722531873980143624e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.271242915622522816e+02 1.261069570797856727e+02 1.295875780686932899e+02 1.309866951344021970e+02 3.000000000000000000e+00 5.764185764995255479e-01 1.231097809268886678e+00 2.621739343730164595e+00 8.488536647989395570e-05 1.734115035535792049e-01 3.424136064595950102e-01 4.437132883961111274e-01 3.757989842106639888e-01 8.817299023071704100e-01 7.015231084227332436e-01 7.681539986159977573e-01 9.961488681190294736e-01 1.243614140925596558e+02 1.206421485817820098e+02 1.252073511472418232e+02 1.274155746362967392e+02 1.239844677651895921e+02 1.243944617480354395e+02 1.258465305905695431e+02 1.246263178031880159e+02 1.319153715300153920e+02 1.264095867310879981e+02 1.272656769113966533e+02 1.257015665777950773e+02 1.273520462638282424e+02 1.262461366775659997e+02 1.297016804054161980e+02 1.312133373562116958e+02 1.331697862883485683e+00 1.833646334541358947e-01 3.783013051312451025e-01 1.315725731758530026e+00 1.866035395977445333e-01 9.584383015233017833e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.319153715300153920e+02 1.264095867310879981e+02 1.272656769113966533e+02 1.257015665777950773e+02 2.000000000000000000e+00 4.462282859633894816e-01 1.020317462483187887e+00 2.572139109443591032e+00 7.271960245983982100e-05 4.799469722086373569e-01 4.306128205664221387e-01 2.589126034204016213e-01 1.833244645600130007e-01 1.157745601895821208e+00 1.272621526297007533e+00 8.551370171977979995e-01 9.947730578560161074e-01 1.360407078282521809e+02 1.189743524672257706e+02 1.178281591626802651e+02 1.232710890413484464e+02 1.308468405546426823e+02 1.221148568841114042e+02 1.198302503581463299e+02 1.207534896826695245e+02 1.246638933811364041e+02 1.198803248018423062e+02 1.231879105351834056e+02 1.218959127910351157e+02 1.225315482995332133e+02 1.211518855224365439e+02 1.224317375611479832e+02 1.275554896721742892e+02 1.504096187109873695e+00 2.354054296146078418e+00 2.911150403716186164e-01 8.751675340161076955e-01 7.795955965776735219e-01 1.384101592466328690e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.246638933811364183e+02 1.198803248018423062e+02 1.231879105351834056e+02 1.218959127910351157e+02 2.000000000000000000e+00 4.383075348023526274e-01 1.032416526990098893e+00 2.544198542614606318e+00 8.977255100491931086e-05 4.353365072165122918e-01 4.588854971978485464e-01 2.850187420062741395e-01 3.035432276841144028e-01 1.054339511825852949e+00 1.240556076215192816e+00 1.053229600645589903e+00 9.280038821263139059e-01 1.271183258700110912e+02 1.101335469817410484e+02 1.096905698318835221e+02 1.165281440461306914e+02 1.206374839164551815e+02 1.143942658753334598e+02 1.201379106485930350e+02 1.147703527266517227e+02 1.291241739794166392e+02 1.226017177515705328e+02 1.205664063084823709e+02 1.176284303501382027e+02 1.207374735945095097e+02 1.174689858621598262e+02 1.212592284481870308e+02 1.227669959456674320e+02 1.555683316748458722e+00 1.252070080879598146e+00 3.562130921452654198e-01 1.905648846978120758e+00 8.708014146283814261e-02 1.335792960980039190e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.291241739794166392e+02 1.226017177515705470e+02 1.205664063084823709e+02 1.176284303501382027e+02 2.000000000000000000e+00 2.794848327951888756e-01 7.595183988330961311e-01 2.499451266757281687e+00 7.554849836280585942e-05 3.039503508288461386e-01 4.098376386721072073e-01 2.351689811830210697e-01 3.704880509333761673e-01 8.757809600424482088e-01 1.209017471684617595e+00 8.609942416873966886e-01 9.046473083848189933e-01 1.341826970709672935e+02 1.098704210895512716e+02 1.037778900449766297e+02 1.101194288802078489e+02 1.265306098588052350e+02 1.199298579447916921e+02 1.167529308328158066e+02 1.065809001043722475e+02 1.358538489159182063e+02 1.244367387964166198e+02 1.205588831525232223e+02 1.116147496403283270e+02 1.262930615897679161e+02 1.164370829687518665e+02 1.210776484779517972e+02 1.203610100927580646e+02 1.839781403058905696e+00 1.977265395739148834e+00 3.518619794349585606e-01 2.686511629584448890e+00 2.632559089859041190e-01 1.722770533366889900e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.358538489159182063e+02 1.244367387964166198e+02 1.205588831525232081e+02 1.116147496403283270e+02 2.000000000000000000e+00 5.537301129291272161e-02 4.324769495523328455e-01 2.378269073033492553e+00 6.746854312908208558e-05 2.568881284943063115e-01 5.081442948083656486e-01 2.115412389065336185e-01 3.484996303221848390e-01 7.808044355675614057e-01 1.091798548204889308e+00 7.851845223469920976e-01 9.327675434692077605e-01 1.447391436630772716e+02 1.093550708954053334e+02 1.093643389517028197e+02 1.032762696234006370e+02 1.409887442020622359e+02 1.270543058737082021e+02 1.211059027205375429e+02 9.885608753112641978e+01 1.456512271428997565e+02 1.278308086650545192e+02 1.332260178038018807e+02 1.053389558916866378e+02 1.359765558638371488e+02 1.183325184313776788e+02 1.229470183539129238e+02 1.161811905942881111e+02 2.312205447902156763e+00 1.451370959700808205e+00 3.636011496626313511e-01 2.480491090131970999e+00 4.172309672352672028e-01 2.287141706178332790e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.456512271428997565e+02 1.278308086650545192e+02 1.332260178038018807e+02 1.053389558916866378e+02 2.000000000000000000e+00 -1.763897817426309800e-01 1.230059717412834708e-01 2.224214464773454747e+00 3.635434517544678984e-05 2.954957089650397384e-01 5.663557893824402445e-01 3.228020230507901434e-01 3.021360590380593458e-01 7.846152261104739623e-01 1.083409454476801592e+00 8.003420516131433127e-01 9.551508132521984162e-01 1.552886577623187634e+02 1.140938294687592531e+02 1.314190457994488384e+02 9.960413819791226331e+01 1.657098769363515487e+02 1.372418894659500097e+02 1.250792971849380564e+02 9.266002223696519025e+01 1.530101102213658066e+02 1.241926114959547931e+02 1.576816568358905499e+02 1.011334637816429023e+02 1.488020581846955395e+02 1.213126397241653081e+02 1.249201801941553782e+02 1.108860974465512612e+02 2.602545449321660875e+00 9.183482239465233787e-01 4.435797843016103803e-01 1.463828780270276742e+00 4.746610397407562409e-01 2.610229845279301131e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.530101102213658066e+02 1.241926114959547931e+02 1.576816568358905499e+02 1.011334637816428881e+02 2.000000000000000000e+00 -4.245390622108210499e-01 -1.850087570099653300e-01 2.035930632588323519e+00 5.551754999587267280e-06 2.732455004662779352e-01 5.652687783577976521e-01 2.912992026484141905e-01 4.195098913023159182e-01 7.758703540479221505e-01 1.117522676393710279e+00 8.039689830166377726e-01 9.510759175805818533e-01 1.494654537405911299e+02 1.176198752304314468e+02 1.490380914712658011e+02 1.018810442552511830e+02 1.793541600092868578e+02 1.494421198553200156e+02 1.200466567100716730e+02 9.290002812890755024e+01 1.654254315562301088e+02 1.240086084442366143e+02 1.796300867774107246e+02 9.825388691059838209e+01 1.588331717942240857e+02 1.252679631028094889e+02 1.311862747975642662e+02 1.137642072426083786e+02 2.626779334732954219e+00 9.233932863600909924e-01 4.707084042131702839e-01 1.432221451205878626e+00 4.791988976666328170e-01 2.657882023446098252e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.654254315562301088e+02 1.240086084442366285e+02 1.796300867774107246e+02 9.825388691059838209e+01 2.000000000000000000e+00 -4.597149649077273414e-01 -2.570472875665804624e-01 2.037617357751126068e+00 7.115290454401727162e-06 3.482622115880129599e-01 5.658200741349752594e-01 3.533786118683900912e-01 4.773391004761105560e-01 7.781407312916652774e-01 1.128681733154497602e+00 8.070648561559355949e-01 9.601274168475824045e-01 1.512900720928172120e+02 1.186096361664391168e+02 1.424951115468972205e+02 1.062074379096333843e+02 1.672073804748394252e+02 1.535215000896637605e+02 1.376971547648273031e+02 1.076748862678008578e+02 1.573674841517702134e+02 1.401940975646587901e+02 1.802800451134108357e+02 1.032722207978123521e+02 1.568471806057482922e+02 1.377691158473268160e+02 1.418928245578749738e+02 1.203624825840523300e+02 2.660736522329851361e+00 9.087479913697070755e-01 4.690014773696097317e-01 1.441541674998232825e+00 4.682417120691209078e-01 2.686500182205867837e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
