# w_1 w_2 w_3 w_4 DS VF CB_L CB_U R_DIFF c_1 c_2 c_3 c_4 u_1 u_2 u_3 u_4 fut_util_1_1 fut_util_1_2 fut_util_1_3 fut_util_1_4 fut_util_2_1 fut_util_2_2 fut_util_2_3 fut_util_2_4 fut_util_3_1 fut_util_3_2 fut_util_3_3 fut_util_3_4 fut_util_4_1 fut_util_4_2 fut_util_4_3 fut_util_4_4 pen_1 pen_2 pen_3 pen_4 pen_u_1 pen_u_2 pen_u_3 pen_u_4 
1.149733183312164613e+02 1.157514736245367999e+02 1.182147786393932591e+02 1.185553160245914199e+02 3.000000000000000000e+00 6.290556474535822229e-01 1.933528700216839313e+00 2.024582594690325532e+00 2.563649928565196075e-08 1.564656009920770358e-03 2.527792840130952401e-01 4.925613551998425099e-01 7.151304218291836268e-01 6.397906452829122369e-03 9.756005643820830908e-01 1.373345022291817541e+00 1.670302898336370578e+00 1.149629017676299441e+02 1.157377821442526340e+02 1.181762023361969511e+02 1.185239748113670259e+02 1.149381959524673391e+02 1.157529518712516818e+02 1.181976765827882332e+02 1.185216675977127210e+02 1.149535454997040631e+02 1.157395642524385835e+02 1.182399017460352013e+02 1.185219061937530824e+02 1.149458665288483274e+02 1.157369387553026456e+02 1.180541926639282906e+02 1.185290372512606751e+02 1.443483493667064438e-04 6.418928509007160437e-05 9.364491891920938814e-05 2.863279989569920189e-03 2.081178733285098917e-04 6.535003944655423712e-04 8.228518744637262428e-04 2.530475858000794988e-06
1.149458665288483417e+02 1.157369387553026456e+02 1.180541926639283048e+02 1.185290372512606751e+02 3.000000000000000000e+00 6.258352190510794166e-01 1.909157960510934116e+00 2.042512477591225117e+00 9.316960034579935912e-08 1.222239912191988792e-03 2.523338906073534504e-01 4.576835671375434900e-01 7.127852460554413572e-01 1.193884500901377238e-02 9.714154784353110639e-01 1.350873892613272842e+00 1.656458163927105876e+00 1.150383027599961849e+02 1.156874423499251918e+02 1.178398096141823146e+02 1.184917696663401898e+02 1.149092740094051521e+02 1.157346598892171272e+02 1.179247982981705150e+02 1.184920001470406561e+02 1.149504652057511578e+02 1.157287395428640480e+02 1.180357603558911421e+02 1.184898415147001032e+02 1.150824018015173209e+02 1.158545510305014261e+02 1.179768683273385363e+02 1.185906302656084250e+02 9.856013300229993918e-04 4.382803477664565131e-04 6.394015710013283048e-04 1.955029329057922025e-02 1.421015575794419171e-03 4.462059045979291545e-03 5.618380160459669065e-03 1.727792789083802173e-05
1.150824018015173351e+02 1.158545510305014261e+02 1.179768683273385363e+02 1.185906302656084108e+02 3.000000000000000000e+00 6.225352436762714436e-01 1.870791995221122050e+00 2.074278492131421014e+00 4.520931716278067075e-08 7.534696235107538054e-03 2.764010359138261430e-01 4.435117833305762258e-01 7.110394669777486687e-01 3.226765296595791171e-02 1.001279081479259814e+00 1.358221865625556246e+00 1.639204636046312391e+00 1.151087877455591268e+02 1.156576151249853126e+02 1.174242999990008514e+02 1.185267874491976272e+02 1.148010442884257998e+02 1.156980314303130370e+02 1.176031335277333483e+02 1.184913692713099778e+02 1.149179531385914572e+02 1.156850536239888925e+02 1.177954583143538230e+02 1.185036860293889021e+02 1.152050295120272239e+02 1.159323897987472094e+02 1.179057989462254454e+02 1.187422309739468602e+02 1.302768973169155658e-04 5.793194684429736889e-05 8.451616787701159682e-05 2.584160019226120538e-03 1.878300024323691889e-04 5.897954785204470628e-04 7.426381375701289001e-04 2.283798498350901087e-06
1.152050295120272381e+02 1.159323897987472094e+02 1.179057989462254454e+02 1.187422309739468602e+02 3.000000000000000000e+00 6.190742438249690061e-01 1.835728295323738379e+00 2.102420192326199810e+00 7.258806706901618439e-08 1.312580518008048258e-02 2.963530873358611872e-01 4.309213151867892777e-01 7.081558739046462936e-01 5.271996045413075010e-02 1.022929476844910424e+00 1.364188569601906265e+00 1.618673365106702011e+00 1.152290526259193655e+02 1.155676826360230223e+02 1.170515650423214709e+02 1.186593708340254523e+02 1.146923521616009509e+02 1.156111673973052092e+02 1.172469596586021225e+02 1.185596958702570447e+02 1.148916982929344215e+02 1.156578437250856837e+02 1.175378351460348085e+02 1.185589874502233130e+02 1.154950659448555115e+02 1.161400074007174510e+02 1.180940936033801449e+02 1.190391351627934711e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.154950659448555115e+02 1.161400074007174510e+02 1.180940936033801449e+02 1.190391351627934853e+02 3.000000000000000000e+00 6.130855555430083648e-01 1.785525918789420130e+00 2.140645192296596555e+00 1.032328230719501170e-07 2.670527935515913664e-02 3.540288958099239158e-01 4.757748594417807175e-01 7.042115236685673185e-01 9.585169072394628120e-02 1.092191440690280180e+00 1.425390259758865907e+00 1.597531405110923064e+00 1.153822579915394329e+02 1.155110899141506877e+02 1.168687469950381512e+02 1.188570930068756866e+02 1.145221580003937163e+02 1.155632115636745283e+02 1.170556115506402080e+02 1.186323404388012506e+02 1.148712126432590424e+02 1.156468264970262680e+02 1.175233999054978824e+02 1.186129154053638644e+02 1.158480607229949300e+02 1.163713894426146851e+02 1.183130098500091094e+02 1.194157571519802588e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.158480607229949300e+02 1.163713894426146709e+02 1.183130098500091094e+02 1.194157571519802588e+02 3.000000000000000000e+00 6.037892245159461879e-01 1.735580573853278796e+00 2.171997875178613757e+00 1.062227943200670078e-07 4.092918509709399244e-02 4.297848721465290511e-01 5.378765982418316494e-01 7.012195542890362621e-01 1.526064050276542128e-01 1.177073422613659881e+00 1.501149214976840396e+00 1.568943285398358700e+00 1.156417042614321673e+02 1.154080835081448129e+02 1.166031825628448075e+02 1.191042165988945953e+02 1.143278554475504905e+02 1.154983774216530463e+02 1.167637684319086020e+02 1.187155065897939750e+02 1.148669461364743540e+02 1.156532687097765688e+02 1.174976002004650582e+02 1.186607352926800019e+02 1.163634378298952896e+02 1.167355933795983844e+02 1.186155085992106137e+02 1.199181244714157657e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.163634378298952896e+02 1.167355933795983844e+02 1.186155085992106279e+02 1.199181244714157657e+02 3.000000000000000000e+00 5.902883830753311578e-01 1.686155730328134039e+00 2.194421035822528232e+00 1.534057630664230312e-07 5.727880095055994103e-02 5.378416041481554055e-01 6.317448545916314329e-01 7.034475532935504649e-01 2.329507064459038768e-01 1.301003080893717190e+00 1.617937643217989274e+00 1.536476636675198959e+00 1.160488222957425819e+02 1.153293338282934144e+02 1.162259797344795231e+02 1.194356897896767009e+02 1.141165399383407930e+02 1.154814384625901624e+02 1.163423831501631867e+02 1.188183515335015414e+02 1.149025421969394358e+02 1.156842616017611931e+02 1.174613164043383051e+02 1.187269705833446238e+02 1.170399373747920748e+02 1.172099972424435066e+02 1.190440128378488112e+02 1.205839473788032734e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.149025421969394358e+02 1.156842616017612073e+02 1.174613164043383051e+02 1.187269705833446380e+02 2.000000000000000000e+00 5.926209395317691975e-01 1.701046187679837729e+00 2.184195691383700844e+00 4.092173611098814584e-08 7.308887940054468318e-03 2.309058732533297575e-01 4.164416381294989145e-01 7.413911105762692744e-01 3.991528077102801664e-02 8.961834287565233481e-01 1.239593187225089377e+00 1.690574560585746733e+00 1.156727476884159671e+02 1.158981066313399850e+02 1.175604104060250705e+02 1.184793620470189808e+02 1.152617151988317801e+02 1.161799420675873051e+02 1.174274803679265347e+02 1.183377933930955521e+02 1.148756953966202019e+02 1.159419914651089272e+02 1.180652616284735927e+02 1.182786413990911711e+02 1.153717449722301609e+02 1.160936984860685470e+02 1.191129205183981696e+02 1.186409788343377016e+02 1.461551700865243615e-02 6.658784656889189801e-03 1.143999844991772182e-11 2.994383217733800895e-01 1.294567651725144798e-02 2.703074849120671534e-03 2.147887469523625803e-01 1.769572993320941523e-04
1.153717449722301609e+02 1.160936984860685470e+02 1.191129205183981696e+02 1.186409788343377159e+02 3.000000000000000000e+00 6.021236725092176112e-01 1.762520466733925595e+00 2.141726878284509805e+00 5.136337068916060685e-07 2.866807480499293515e-02 4.442825860560607465e-01 7.528979430532715122e-01 7.054425367076684328e-01 1.185757576682401337e-01 1.175572050091252096e+00 1.536459240104028678e+00 1.640716381694162340e+00 1.151821713534317553e+02 1.158053558450564253e+02 1.184402958448335141e+02 1.180429594174590022e+02 1.147017457494172277e+02 1.160826607370810137e+02 1.186965840994546966e+02 1.179622564506922373e+02 1.150097803094845688e+02 1.158298784211579004e+02 1.195496547586018323e+02 1.179406445286719958e+02 1.149325363244956719e+02 1.158302252012338442e+02 1.164433339762041726e+02 1.181568017788788865e+02 2.548249916558430542e-03 1.133163912830431651e-03 1.653158199390090434e-03 5.054684051906221942e-02 3.674003587641343042e-03 1.153655260535157816e-02 1.452619465000636392e-02 4.467169124603707399e-05
1.149325363244956861e+02 1.158302252012338300e+02 1.164433339762041726e+02 1.181568017788788865e+02 3.000000000000000000e+00 5.626095840520393132e-01 1.669821685447836046e+00 2.155397482656242758e+00 1.042611622281891080e-06 1.743113613868944867e-02 3.779842473174478412e-01 1.905836432981751760e-01 6.747668020354959939e-01 1.633465957080152409e-01 1.057315704896051534e+00 1.152443166466903257e+00 1.452456485781600248e+00 1.161488341339749297e+02 1.150734650091665969e+02 1.132608345809377113e+02 1.176541803199527294e+02 1.143584001155765009e+02 1.156836582308576311e+02 1.143174820395125835e+02 1.176570072061505954e+02 1.148931737826490860e+02 1.155906790313472357e+02 1.160370391052532852e+02 1.176471544041115322e+02 1.167713151578142146e+02 1.173633190192908557e+02 1.155344335662398123e+02 1.190724022706859415e+02 1.282322323442107621e-02 5.702271869402158848e-03 8.318971289595843491e-03 2.543602240863701569e-01 1.848820551811134957e-02 5.805387786101545711e-02 7.309826074537183194e-02 2.247954823372894041e-04
